person_age,person_emp_length,loan_int_rate,loan_percent_income,cb_person_default_on_file,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status,has_credit_history
21,5.0,11.14,0.1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1
25,1.0,12.87,0.57,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
23,4.0,15.23,0.53,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
24,8.0,14.27,0.55,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
21,2.0,7.14,0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
26,8.0,12.42,0.45,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1
24,5.0,11.11,0.44,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
24,8.0,8.9,0.42,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
21,6.0,14.74,0.16,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
22,6.0,10.37,0.41,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
21,2.0,8.63,0.45,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1
23,2.0,7.9,0.37,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
26,4.0,18.39,0.32,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1
23,2.0,7.9,0.3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1
23,0.0,7.9,0.29,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1
23,7.0,20.25,0.32,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
23,8.0,18.25,0.31,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
24,8.0,10.99,0.16,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1
25,9.0,16.77,0.25,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1
22,4.0,17.58,0.52,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1
24,0.0,7.29,0.14,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
22,3.0,14.54,0.42,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
24,8.0,12.68,0.49,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1
21,3.0,17.74,0.42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
23,0.0,9.32,0.13,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
24,6.0,9.99,0.5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1
21,5.0,12.84,0.35,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1
21,5.0,11.12,0.17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
25,2.0,6.62,0.27,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1
26,7.0,14.17,0.33,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1
21,5.0,7.51,0.21,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1
22,1.0,18.39,0.63,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1
24,8.0,14.54,0.47,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
25,4.0,16.89,0.4,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1
23,3.0,15.31,0.42,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
26,6.0,17.99,0.41,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
24,4.0,12.69,0.21,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
26,8.0,7.49,0.37,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
22,4.0,12.69,0.38,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
26,0.0,6.62,0.34,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
24,4.0,15.31,0.38,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
23,7.0,18.62,0.38,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
23,6.0,15.23,0.33,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
23,7.0,10.65,0.31,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
